// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.3.5
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Vel_X	Vel_Y	Vel_Z
17054		-1.735167	1.985744	9.446203	0.989529	0.107902	0.084269	-0.045706			
17055		-1.701372	2.045144	9.421649	0.989503	0.108026	0.084320	-0.045872			
17056		-1.751263	2.066363	9.405475	0.989495	0.108036	0.084346	-0.045984			
17057		-1.740764	2.023762	9.363298	0.989505	0.107823	0.084394	-0.046164			
17058		-1.732143	2.005779	9.382497	0.989496	0.107808	0.084446	-0.046312			
17059		-1.741103	2.039023	9.393370	0.989484	0.107832	0.084485	-0.046439			
17060		-1.753825	2.066161	9.352119	0.989480	0.107778	0.084566	-0.046503			
17061		-1.791872	2.031792	9.372310	0.989466	0.107807	0.084636	-0.046607			
17062		-1.759985	2.042139	9.370059	0.989464	0.107718	0.084724	-0.046690			
17063		-1.748362	2.008402	9.363138	0.989462	0.107642	0.084820	-0.046724			
17064		-1.771953	2.023406	9.378906	0.989473	0.107484	0.084898	-0.046711			
17065		-1.764302	1.993963	9.379226	0.989478	0.107340	0.085019	-0.046723			
17066		-1.738204	1.973726	9.384189	0.989460	0.107325	0.085210	-0.046791			
17067		-1.775271	1.972954	9.379815	0.989427	0.107467	0.085362	-0.046896			
17068		-1.756352	2.014674	9.416408	0.989390	0.107673	0.085468	-0.046996			
17069		-1.745435	2.030993	9.467554	0.989380	0.107671	0.085582	-0.047005			
17070		-1.790361	1.972304	9.421169	0.989369	0.107696	0.085673	-0.047012			
17071		-1.778208	1.988089	9.432162	0.989337	0.107856	0.085766	-0.047147			
17072		-1.749431	1.993529	9.434065	0.989310	0.107971	0.085829	-0.047346			
17073		-1.763393	2.012237	9.413622	0.989292	0.108074	0.085880	-0.047398			
17074		-1.777674	2.032736	9.433242	0.989268	0.108308	0.085884	-0.047352			
17075		-1.787618	2.128745	9.407709	0.989279	0.108136	0.085955	-0.047376			
17076		-1.811265	1.977256	9.347550	0.989318	0.107733	0.085981	-0.047434			
17077		-1.768259	1.913503	9.368275	0.989297	0.107938	0.085934	-0.047504			
17078		-1.767226	2.081225	9.403536	0.989277	0.108166	0.085881	-0.047501			
17079		-1.776088	2.038135	9.338853	0.989269	0.108226	0.085881	-0.047517			
17080		-1.766608	2.021157	9.414487	0.989262	0.108234	0.085951	-0.047518			
17081		-1.805605	1.991613	9.361172	0.989268	0.108194	0.085950	-0.047496			
17082		-1.768777	2.021033	9.373564	0.989279	0.108125	0.085938	-0.047453			
17083		-1.776222	1.943696	9.402715	0.989298	0.107921	0.085965	-0.047453			
17084		-1.775697	1.926526	9.416962	0.989287	0.107948	0.086021	-0.047535			
17085		-1.788747	2.015276	9.395914	0.989262	0.108093	0.086044	-0.047668			
