// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.3.5
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Vel_X	Vel_Y	Vel_Z
17054		0.102892	0.889200	9.770683	0.998583	0.051500	-0.004229	0.012725			
17055		0.085088	1.029687	9.755500	0.998569	0.051780	-0.004117	0.012709			
17056		0.089273	1.159310	9.767591	0.998568	0.051828	-0.004095	0.012638			
17057		0.080177	1.051558	9.756147	0.998587	0.051485	-0.003993	0.012584			
17058		0.120163	0.962257	9.720749	0.998591	0.051427	-0.003890	0.012533			
17059		0.060432	1.021795	9.737669	0.998586	0.051532	-0.003821	0.012487			
17060		0.087723	1.031256	9.783879	0.998585	0.051567	-0.003654	0.012449			
17061		0.056133	1.075220	9.728991	0.998588	0.051499	-0.003596	0.012522			
17062		0.060286	1.059580	9.747886	0.998595	0.051362	-0.003488	0.012544			
17063		0.071322	0.953878	9.724404	0.998598	0.051323	-0.003385	0.012551			
17064		0.044749	0.995281	9.727920	0.998602	0.051218	-0.003200	0.012636			
17065		0.064325	1.079907	9.767530	0.998608	0.051105	-0.003098	0.012708			
17066		0.081914	1.024256	9.784157	0.998618	0.050896	-0.002959	0.012756			
17067		0.071811	0.970400	9.744414	0.998618	0.050875	-0.002826	0.012842			
17068		0.053163	0.967611	9.725954	0.998609	0.051060	-0.002640	0.012908			
17069		0.087500	0.987083	9.810775	0.998599	0.051249	-0.002510	0.012961			
17070		0.043844	1.071349	9.777436	0.998600	0.051216	-0.002414	0.013006			
17071		0.039985	1.060268	9.806912	0.998605	0.051121	-0.002339	0.013028			
17072		0.063559	0.959826	9.772573	0.998607	0.051070	-0.002249	0.013042			
17073		0.056626	0.886658	9.751312	0.998601	0.051203	-0.002147	0.013053			
17074		0.012666	1.052255	9.867081	0.998585	0.051505	-0.002173	0.013032			
17075		0.088913	1.175897	9.745448	0.998599	0.051229	-0.002131	0.013044			
17076		-0.008919	0.976585	9.681275	0.998615	0.050885	-0.002140	0.013170			
17077		0.018433	0.928512	9.736648	0.998615	0.050889	-0.002107	0.013192			
17078		0.045223	0.984047	9.774365	0.998596	0.051253	-0.002067	0.013202			
17079		0.050724	1.136969	9.806541	0.998587	0.051422	-0.001989	0.013297			
17080		0.035556	1.023586	9.765618	0.998596	0.051208	-0.001976	0.013385			
17081		0.017020	0.995205	9.708065	0.998601	0.051088	-0.001976	0.013476			
17082		0.022556	1.013402	9.776942	0.998603	0.051048	-0.002044	0.013497			
17083		0.062913	0.981694	9.782403	0.998610	0.050904	-0.002020	0.013524			
17084		0.029537	0.983129	9.775819	0.998614	0.050826	-0.001935	0.013553			
17085		0.024979	0.984058	9.746648	0.998609	0.050929	-0.001913	0.013544			
17086		0.068520	1.029679	9.773036	0.998605	0.050996	-0.001870	0.013553			
17087		0.045676	1.050588	9.785383	0.998608	0.050947	-0.001849	0.013564			
17088		0.040507	1.029713	9.736170	0.998606	0.050974	-0.001819	0.013567			
17089		0.056002	0.957045	9.712904	0.998604	0.051012	-0.001716	0.013569			
17090		0.032527	1.043477	9.746576	0.998602	0.051056	-0.001699	0.013604			
17091		0.035278	1.062814	9.795966	0.998609	0.050919	-0.001704	0.013580			
17092		0.072489	0.922228	9.749707	0.998618	0.050753	-0.001579	0.013565			
17093		0.042824	1.007627	9.725349	0.998618	0.050728	-0.001497	0.013655			
17094		0.026295	1.058521	9.777068	0.998614	0.050806	-0.001438	0.013686			
17095		0.037454	1.031299	9.814419	0.998618	0.050721	-0.001401	0.013672			
17096		0.028791	0.942895	9.714917	0.998633	0.050427	-0.001284	0.013700			
17097		0.022938	0.930706	9.734754	0.998631	0.050452	-0.001122	0.013745			
17098		0.039876	1.075007	9.815277	0.998622	0.050647	-0.001011	0.013737			
17099		0.019188	1.050395	9.757247	0.998629	0.050496	-0.000879	0.013737			
17100		-0.008131	0.973217	9.757461	0.998633	0.050434	-0.000763	0.013727			
17101		0.019906	0.981114	9.813804	0.998630	0.050508	-0.000666	0.013696			
17102		0.005829	0.957355	9.813851	0.998619	0.050734	-0.000676	0.013620			
17103		0.015755	0.967364	9.783245	0.998607	0.050986	-0.000720	0.013567			
17104		0.027313	0.987109	9.821607	0.998603	0.051073	-0.000763	0.013531			
17105		-0.000686	0.968869	9.833407	0.998605	0.051046	-0.000913	0.013447			
17106		0.005311	1.052453	9.796305	0.998607	0.051024	-0.001170	0.013410			
17107		0.002677	1.065211	9.777707	0.998608	0.051000	-0.001392	0.013404			
17108		0.013163	0.997009	9.726220	0.998604	0.051057	-0.001674	0.013400			
17109		0.008895	1.002640	9.726955	0.998597	0.051185	-0.001950	0.013441			
17110		0.041332	1.056575	9.764894	0.998592	0.051271	-0.002204	0.013450			
17111		0.025047	1.022294	9.716792	0.998594	0.051198	-0.002489	0.013496			
17112		0.036187	0.942819	9.723848	0.998593	0.051208	-0.002658	0.013534			
17113		0.042822	0.976720	9.724035	0.998575	0.051551	-0.002882	0.013531			
17114		0.090321	1.026359	9.749981	0.998563	0.051785	-0.003000	0.013487			
17115		0.097672	1.080954	9.779940	0.998558	0.051859	-0.003153	0.013483			
17116		0.072061	1.027892	9.751688	0.998565	0.051733	-0.003248	0.013461			
17117		0.119613	1.038159	9.728184	0.998560	0.051828	-0.003417	0.013401			
17118		0.115506	1.052883	9.719054	0.998555	0.051913	-0.003484	0.013410			
17119		0.084435	1.027989	9.750302	0.998542	0.052168	-0.003522	0.013450			
17120		0.062782	1.050896	9.664103	0.998534	0.052305	-0.003552	0.013498			
17121		0.090414	1.124659	9.702719	0.998541	0.052160	-0.003622	0.013521			
17122		0.058350	1.049645	9.714071	0.998552	0.051929	-0.003618	0.013579			
17123		0.087566	0.999322	9.700589	0.998557	0.051818	-0.003532	0.013650			
17124		0.064299	0.954796	9.701348	0.998551	0.051931	-0.003412	0.013703			
17125		0.073764	1.049049	9.721979	0.998540	0.052120	-0.003325	0.013799			
17126		0.067971	1.128202	9.763319	0.998539	0.052133	-0.003200	0.013880			
17127		0.037073	1.051607	9.724972	0.998553	0.051868	-0.003051	0.013879			
17128		0.069807	0.933847	9.748621	0.998562	0.051686	-0.002913	0.013916			
17129		0.054255	0.854530	9.786736	0.998549	0.051968	-0.002737	0.013842			
17130		0.095895	0.989819	9.755993	0.998531	0.052339	-0.002573	0.013768			
17131		0.037730	1.128802	9.783232	0.998520	0.052581	-0.002441	0.013667			
17132		0.034198	1.111323	9.772451	0.998512	0.052779	-0.002334	0.013499			
17133		0.023390	1.085551	9.722971	0.998503	0.052981	-0.002232	0.013377			
17134		0.007739	1.086044	9.733113	0.998484	0.053361	-0.002055	0.013324			
17135		0.002986	1.190451	9.714858	0.998460	0.053804	-0.001852	0.013413			
17136		-0.058790	1.428567	9.694573	0.998434	0.054178	-0.001658	0.013807			
17137		-0.094234	1.619940	9.671613	0.998420	0.054215	-0.001696	0.014647			
17138		-0.194982	1.676308	9.653000	0.998415	0.053930	-0.001874	0.015987			
17139		-0.236789	1.357738	9.661092	0.998416	0.053469	-0.002107	0.017404			
17140		-0.150954	0.857772	9.583905	0.998399	0.053288	-0.001884	0.018878			
17141		-0.133972	0.641166	9.674036	0.998318	0.054275	-0.001612	0.020325			
17142		-0.002938	0.768449	9.799852	0.998193	0.056084	-0.001351	0.021532			
17143		0.062438	0.879948	9.870219	0.998066	0.058091	-0.000579	0.022129			
17144		0.066356	1.064925	9.956632	0.998003	0.058994	0.000103	0.022589			
17145		0.041727	1.137622	9.918483	0.997978	0.059221	0.000177	0.023100			
17146		0.085250	1.178025	9.906303	0.998003	0.058617	-0.000070	0.023520			
17147		0.080082	1.176609	9.859981	0.998045	0.057722	-0.000226	0.023947			
17148		0.045621	1.048990	9.813846	0.998067	0.057180	-0.000450	0.024331			
17149		0.084726	1.039362	9.762027	0.998035	0.057531	-0.000660	0.024808			
17150		0.127293	1.192532	9.760292	0.997988	0.058110	-0.000934	0.025361			
17151		-0.004942	0.952171	9.638683	0.997935	0.058815	-0.000884	0.025805			
17152		0.030326	0.889341	9.652126	0.997847	0.060203	-0.000752	0.026025			
17153		0.052991	1.168775	9.777441	0.997751	0.061656	-0.000535	0.026307			
17154		0.077498	1.361167	9.764094	0.997695	0.062438	-0.000337	0.026560			
17155		0.100714	1.410095	9.820326	0.997699	0.062235	-0.000255	0.026881			
17156		0.002712	1.250322	9.769930	0.997742	0.061330	-0.000559	0.027360			
17157		0.155450	1.141767	9.818035	0.997777	0.060541	-0.001159	0.027827			
17158		0.206615	1.261960	9.779199	0.997832	0.059324	-0.001345	0.028463			
17159		0.113049	1.217430	9.672319	0.997886	0.058120	-0.001542	0.029053			
17160		0.084132	1.084680	9.803103	0.997918	0.057169	-0.001807	0.029800			
17161		0.063864	1.054690	9.728442	0.997944	0.056288	-0.001968	0.030586			
17162		0.040558	1.058229	9.830266	0.997941	0.055986	-0.002213	0.031226			
17163		0.164649	1.151002	9.823944	0.997965	0.055123	-0.002665	0.031933			
17164		0.058439	1.059053	9.725669	0.997978	0.054406	-0.003030	0.032707			
17165		0.093737	0.926837	9.711724	0.997970	0.054145	-0.003811	0.033312			
17166		0.176044	0.887607	9.734207	0.997950	0.054130	-0.004153	0.033877			
17167		0.188831	1.090313	9.768231	0.997933	0.054011	-0.004288	0.034560			
17168		0.127016	1.104868	9.588315	0.997925	0.053788	-0.004380	0.035127			
17169		0.148524	1.102335	9.783363	0.997921	0.053422	-0.004344	0.035782			
17170		0.148547	1.135917	9.874298	0.997937	0.052598	-0.004486	0.036528			
17171		0.051435	1.026118	9.793870	0.997959	0.051708	-0.004721	0.037187			
17172		0.165230	0.943366	9.705136	0.997964	0.051203	-0.004987	0.037688			
17173		0.115040	0.929515	9.867315	0.997961	0.050751	-0.004945	0.038394			
